CODIGO_WMO,ESTACAO,UF,REGIAO,latitude,longitude,altitude,DATA_FUNDACAO,periodo_valido_inicio,periodo_valido_fim,total_horas_validas,n_observado,n_imputado,n_nan_residual,pct_imputado,foi_segmentada_tier_c,status_final,motivo_exclusao_final,qualidade_geral
A735,JOSE BONIFACIO,SP,SE,-21.08555555,-49.92027777,408.35,03/09/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129001.0,2495.0,18439.0,1.8973961185131107,False,incluida,,alta
A738,CASA BRANCA,SP,SE,-21.78055554,-47.07527777,734.15,25/06/07,2008-01-01 00:00:00,2011-12-01 05:00:00,34326.0,33861.0,465.0,0.0,1.354658276525083,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A764,BEBEDOURO,SP,SE,-20.94916666,-48.48999999,790.0,27/10/16,,,,,,,,,excluida_cronica,segmento remanescente curto demais (1.6 anos),excluida
A539,MOCAMBINHO,MG,SE,-15.085958,-44.016036,454.0,11/11/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130092.0,1404.0,3645.0,1.0677130863296225,False,incluida,,alta
A548,CHAPADA GAUCHA,MG,SE,-15.30027777,-45.61749999,873.2,22/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,125876.0,5620.0,3851.0,4.27389426294336,False,incluida,,alta
A620,CAMPOS DOS GOYTACAZES - SAO TOME,RJ,SE,-22.04166666,-41.05166666,7.0,13/06/08,2008-06-13 00:00:00,2022-12-31 23:00:00,127560.0,123620.0,3940.0,7092.0,3.088742552524302,False,incluida,,alta
A701,SAO PAULO - MIRANTE,SP,SE,-23.49638888,-46.61999999,785.64,25/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,131228.0,268.0,342.0,0.2038084808663381,False,incluida,,alta
A769,CACHOEIRA PAULISTA,SP,SE,-22.68888888,-45.00555555,586.0,20/10/17,2017-10-20 00:00:00,2020-10-01 05:00:00,25854.0,25769.0,85.0,0.0,0.3287692426703798,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A519,CAMPINA VERDE,MG,SE,-19.53921,-49.518133,559.07,15/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127583.0,3913.0,3065.0,2.9757559165297804,False,incluida,,alta
A524,FORMIGA,MG,SE,-20.455,-45.45388888,878.14,17/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130429.0,1067.0,4101.0,0.8114315264342642,False,incluida,,alta
A561,SAO SEBASTIAO DO PARAISO,MG,SE,-20.91,-47.11416666,845.0,17/08/15,2015-08-17 00:00:00,2019-12-01 05:00:00,37614.0,36714.0,900.0,0.0,2.3927261126176425,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A567,MACHADO,MG,SE,-21.680722,-45.944389,969.0,21/07/17,2017-07-21 00:00:00,2022-12-31 23:00:00,47760.0,46507.0,1253.0,652.0,2.623534338358459,False,incluida,,alta
