protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-A-3159100-12200-20101227,Santana dos Montes,MG,2010-12-27,12200,3159100,Sudeste,Enxurradas,Hidrológico,1
MG-A-3159209-12100-20091107,Santa Rita de Caldas,MG,2009-11-07,12100,3159209,Sudeste,Inundações,Hidrológico,1
MG-A-3159308-12100-20111218,Santa Rita de Jacutinga,MG,2011-12-18,12100,3159308,Sudeste,Inundações,Hidrológico,1
MG-F-3159506-12200-20131219,Santa Rita do Itueto,MG,2013-12-30,12200,3159506,Sudeste,Enxurradas,Hidrológico,1
MG-N-3159605-12100-20080130,Santa Rita do Sapucaí,MG,2008-01-30,12100,3159605,Sudeste,Inundações,Hidrológico,1
MG-A-3159902-12100-20120109,Santo Antônio do Amparo,MG,2012-01-09,12100,3159902,Sudeste,Inundações,Hidrológico,1
MG-F-3160306-12300-20161011,Santo Antônio do Jacinto,MG,2016-10-11,12300,3160306,Sudeste,Alagamentos,Hidrológico,1
MG-A-3160405-12100-20090121,Santo Antônio do Monte,MG,2009-01-21,12100,3160405,Sudeste,Inundações,Hidrológico,1
MG-F-3160405-12300-20200125,Santo Antônio do Monte,MG,2020-02-07,12300,3160405,Sudeste,Alagamentos,Hidrológico,1
MG-A-3160504-12100-20111230,Santo Antônio do Rio Abaixo,MG,2011-12-30,12100,3160504,Sudeste,Inundações,Hidrológico,1
MG-A-3160702-12100-20120108,Santos Dumont,MG,2012-01-08,12100,3160702,Sudeste,Inundações,Hidrológico,1
MG-F-3160702-12100-20160128,Santos Dumont,MG,2016-01-28,12100,3160702,Sudeste,Inundações,Hidrológico,1
MG-F-3160702-12300-20171127,Santos Dumont,MG,2017-11-27,12300,3160702,Sudeste,Alagamentos,Hidrológico,1
MG-F-3160702-12300-20190220,Santos Dumont,MG,2019-02-20,12300,3160702,Sudeste,Alagamentos,Hidrológico,1
MG-A-3161007-12100-20090210,São Domingos do Prata,MG,2009-02-10,12100,3161007,Sudeste,Inundações,Hidrológico,1
MG-F-3161056-12300-20211209,São Félix de Minas,MG,2021-12-21,12300,3161056,Sudeste,Alagamentos,Hidrológico,1
MG-A-3161106-12100-20090112,São Francisco,MG,2009-01-12,12100,3161106,Sudeste,Inundações,Hidrológico,1
MG-A-3161106-12100-20120106,São Francisco,MG,2012-01-06,12100,3161106,Sudeste,Inundações,Hidrológico,1
MG-F-3161106-12300-20131230,São Francisco,MG,2013-12-30,12300,3161106,Sudeste,Alagamentos,Hidrológico,1
MG-F-3161205-12300-20200213,São Francisco de Paula,MG,2020-02-13,12300,3161205,Sudeste,Alagamentos,Hidrológico,1
MG-A-3161403-12100-20090127,São Francisco do Glória,MG,2009-01-27,12100,3161403,Sudeste,Inundações,Hidrológico,1
MG-A-3161502-12100-20090115,São Geraldo,MG,2009-01-15,12100,3161502,Sudeste,Inundações,Hidrológico,1
MG-A-3161502-12100-20110315,São Geraldo,MG,2011-03-15,12100,3161502,Sudeste,Inundações,Hidrológico,1
MG-A-3161502-12100-20120101,São Geraldo,MG,2012-01-01,12100,3161502,Sudeste,Inundações,Hidrológico,1
MG-F-3161601-12200-20130206,São Geraldo da Piedade,MG,2013-02-15,12200,3161601,Sudeste,Enxurradas,Hidrológico,1
MG-F-3161601-12200-20161124,São Geraldo da Piedade,MG,2016-11-24,12200,3161601,Sudeste,Enxurradas,Hidrológico,1
MG-F-3161601-12200-20171210,São Geraldo da Piedade,MG,2017-12-10,12200,3161601,Sudeste,Enxurradas,Hidrológico,1
MG-F-3161601-12100-20180504,São Geraldo da Piedade,MG,2018-05-04,12100,3161601,Sudeste,Inundações,Hidrológico,1
MG-A-3161650-12100-20090327,São Geraldo do Baixio,MG,2009-03-27,12100,3161650,Sudeste,Inundações,Hidrológico,1
MG-A-3161650-12100-20120107,São Geraldo do Baixio,MG,2012-01-07,12100,3161650,Sudeste,Inundações,Hidrológico,1
MG-F-3161650-12100-20131218,São Geraldo do Baixio,MG,2013-12-27,12100,3161650,Sudeste,Inundações,Hidrológico,1
MG-A-3161700-12300-20110321,São Gonçalo do Abaeté,MG,2011-03-21,12300,3161700,Sudeste,Alagamentos,Hidrológico,1
MG-A-3161700-12300-20120317,São Gonçalo do Abaeté,MG,2012-03-17,12300,3161700,Sudeste,Alagamentos,Hidrológico,1
MG-F-3161700-12100-20220109,São Gonçalo do Abaeté,MG,2022-01-09,12100,3161700,Sudeste,Inundações,Hidrológico,1
MG-F-3161700-12100-20221116,São Gonçalo do Abaeté,MG,2022-11-16,12100,3161700,Sudeste,Inundações,Hidrológico,1
MG-F-3161908-12300-20220107,São Gonçalo do Rio Abaixo,MG,2022-01-07,12300,3161908,Sudeste,Alagamentos,Hidrológico,1
MG-P-3162104-12200-20120208,São Gotardo,MG,2012-02-08,12200,3162104,Sudeste,Enxurradas,Hidrológico,1
MG-F-3162104-12200-20220102,São Gotardo,MG,2022-01-02,12200,3162104,Sudeste,Enxurradas,Hidrológico,1
MG-F-3162104-12100-20220106,São Gotardo,MG,2022-01-06,12100,3162104,Sudeste,Inundações,Hidrológico,1
MG-F-3162252-12300-20160122,São João da Lagoa,MG,2016-01-22,12300,3162252,Sudeste,Alagamentos,Hidrológico,1
MG-P-3162302-12200-20111202,São João da Mata,MG,2011-12-02,12200,3162302,Sudeste,Enxurradas,Hidrológico,1
MG-A-3162401-12200-20090105,São João da Ponte,MG,2009-01-05,12200,3162401,Sudeste,Enxurradas,Hidrológico,1
MG-A-3162500-12100-20120109,São João del Rei,MG,2012-01-09,12100,3162500,Sudeste,Inundações,Hidrológico,1
MG-F-3162500-12100-20131130,São João del Rei,MG,2013-12-04,12100,3162500,Sudeste,Inundações,Hidrológico,1
MG-A-3162575-12100-20110312,São João do Manteninha,MG,2011-03-12,12100,3162575,Sudeste,Inundações,Hidrológico,1
MG-A-3162609-12200-20111218,São João do Oriente,MG,2011-12-18,12200,3162609,Sudeste,Enxurradas,Hidrológico,1
MG-F-3162609-12300-20220109,São João do Oriente,MG,2022-01-09,12300,3162609,Sudeste,Alagamentos,Hidrológico,1
MG-A-3162658-12100-20110125,São João do Pacuí,MG,2011-01-25,12100,3162658,Sudeste,Inundações,Hidrológico,1
MG-F-3162658-12300-20210310,São João do Pacuí,MG,2021-03-15,12300,3162658,Sudeste,Alagamentos,Hidrológico,1
MG-A-3162708-12200-20090115,São João do Paraíso,MG,2009-01-15,12200,3162708,Sudeste,Enxurradas,Hidrológico,1
