protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
ES-P-3205069-12200-20131223,Venda Nova do Imigrante,ES,2013-12-23,12200,3205069,Sudeste,Enxurradas,Hidrológico,1
ES-A-3205200-12200-20081121,Vila Velha,ES,2008-11-21,12200,3205200,Sudeste,Enxurradas,Hidrológico,1
ES-A-3205200-12300-20091030,Vila Velha,ES,2009-10-30,12300,3205200,Sudeste,Alagamentos,Hidrológico,1
ES-J-3205200-12200-20100305,Vila Velha,ES,2010-03-05,12200,3205200,Sudeste,Enxurradas,Hidrológico,1
ES-A-3205200-12300-20110427,Vila Velha,ES,2011-04-27,12300,3205200,Sudeste,Alagamentos,Hidrológico,1
ES-A-3205200-12200-20120105,Vila Velha,ES,2012-01-05,12200,3205200,Sudeste,Enxurradas,Hidrológico,1
ES-F-3205200-12300-20130318,Vila Velha,ES,2013-03-27,12300,3205200,Sudeste,Alagamentos,Hidrológico,1
ES-F-3205200-12300-20131216,Vila Velha,ES,2013-12-31,12300,3205200,Sudeste,Alagamentos,Hidrológico,1
ES-F-3205200-12300-20200301,Vila Velha,ES,2020-03-31,12300,3205200,Sudeste,Alagamentos,Hidrológico,1
ES-P-3205309-12200-20131223,Vitória,ES,2013-12-23,12200,3205309,Sudeste,Enxurradas,Hidrológico,1
ES-F-3205309-12300-20180416,Vitória,ES,2018-04-16,12300,3205309,Sudeste,Alagamentos,Hidrológico,1
RJ-J-3300100-12300-20100114,Angra dos Reis,RJ,2010-01-14,12300,3300100,Sudeste,Alagamentos,Hidrológico,1
RJ-J-3300100-12200-20101110,Angra dos Reis,RJ,2010-11-10,12200,3300100,Sudeste,Enxurradas,Hidrológico,1
RJ-J-3300100-12200-20101209,Angra dos Reis,RJ,2010-12-09,12200,3300100,Sudeste,Enxurradas,Hidrológico,1
RJ-C-3300100-12300-20101215,Angra dos Reis,RJ,2010-12-15,12300,3300100,Sudeste,Alagamentos,Hidrológico,1
RJ-J-3300100-12200-20101226,Angra dos Reis,RJ,2010-12-26,12200,3300100,Sudeste,Enxurradas,Hidrológico,1
RJ-J-3300100-12300-20110228,Angra dos Reis,RJ,2011-02-28,12300,3300100,Sudeste,Alagamentos,Hidrológico,1
RJ-J-3300100-12100-20110316,Angra dos Reis,RJ,2011-03-16,12100,3300100,Sudeste,Inundações,Hidrológico,1
RJ-F-3300100-12300-20130101,Angra dos Reis,RJ,2013-01-08,12300,3300100,Sudeste,Alagamentos,Hidrológico,1
RJ-F-3300100-12300-20130317,Angra dos Reis,RJ,2013-04-02,12300,3300100,Sudeste,Alagamentos,Hidrológico,1
RJ-F-3300100-12300-20130126,Angra dos Reis,RJ,2013-10-07,12300,3300100,Sudeste,Alagamentos,Hidrológico,1
RJ-F-3300100-12200-20200203,Angra dos Reis,RJ,2020-02-05,12200,3300100,Sudeste,Enxurradas,Hidrológico,1
RJ-F-3300258-12300-20221126,Arraial do Cabo,RJ,2022-11-26,12300,3300258,Sudeste,Alagamentos,Hidrológico,1
RJ-A-3300902-12100-20081218,Cambuci,RJ,2008-12-18,12100,3300902,Sudeste,Inundações,Hidrológico,1
RJ-P-3300902-12100-20090102,Cambuci,RJ,2009-01-02,12100,3300902,Sudeste,Inundações,Hidrológico,1
RJ-N-3300902-12100-20120103,Cambuci,RJ,2012-01-03,12100,3300902,Sudeste,Inundações,Hidrológico,1
RJ-F-3300902-12200-20131203,Cambuci,RJ,2013-12-12,12200,3300902,Sudeste,Enxurradas,Hidrológico,1
RJ-F-3300902-12200-20181125,Cambuci,RJ,2018-11-25,12200,3300902,Sudeste,Enxurradas,Hidrológico,1
RJ-F-3300902-12100-20200305,Cambuci,RJ,2020-03-11,12100,3300902,Sudeste,Inundações,Hidrológico,1
RJ-F-3300902-12100-20220109,Cambuci,RJ,2022-01-09,12100,3300902,Sudeste,Inundações,Hidrológico,1
RJ-C-3301009-12300-20080129,Campos dos Goytacazes,RJ,2008-01-29,12300,3301009,Sudeste,Alagamentos,Hidrológico,1
RJ-C-3301009-12200-20080415,Campos dos Goytacazes,RJ,2008-04-15,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-C-3301009-12200-20081117,Campos dos Goytacazes,RJ,2008-11-17,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-A-3301009-12100-20081125,Campos dos Goytacazes,RJ,2008-11-25,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-A-3301009-12100-20081217,Campos dos Goytacazes,RJ,2008-12-17,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-P-3301009-12100-20090312,Campos dos Goytacazes,RJ,2009-03-12,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-C-3301009-12200-20090408,Campos dos Goytacazes,RJ,2009-04-08,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-C-3301009-12100-20091125,Campos dos Goytacazes,RJ,2009-11-25,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-J-3301009-12200-20101229,Campos dos Goytacazes,RJ,2010-12-29,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-A-3301009-12100-20110105,Campos dos Goytacazes,RJ,2011-01-05,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-J-3301009-12100-20110314,Campos dos Goytacazes,RJ,2011-03-14,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-O-3301009-12100-20120103,Campos dos Goytacazes,RJ,2012-01-03,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-F-3301009-12200-20180308,Campos dos Goytacazes,RJ,2018-03-08,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-F-3301009-12200-20180415,Campos dos Goytacazes,RJ,2018-04-15,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-F-3301009-12100-20191120,Campos dos Goytacazes,RJ,2019-11-20,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-F-3301009-12100-20200128,Campos dos Goytacazes,RJ,2020-01-29,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-F-3301009-12300-20210223,Campos dos Goytacazes,RJ,2021-03-02,12300,3301009,Sudeste,Alagamentos,Hidrológico,1
RJ-F-3301009-12200-20211031,Campos dos Goytacazes,RJ,2021-11-09,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-F-3301009-12100-20220111,Campos dos Goytacazes,RJ,2022-01-11,12100,3301009,Sudeste,Inundações,Hidrológico,1
RJ-F-3301009-12200-20221130,Campos dos Goytacazes,RJ,2022-11-30,12200,3301009,Sudeste,Enxurradas,Hidrológico,1
RJ-P-3301207-12200-20101126,Carmo,RJ,2010-11-26,12200,3301207,Sudeste,Enxurradas,Hidrológico,1
RJ-C-3301207-12100-20110211,Carmo,RJ,2011-02-11,12100,3301207,Sudeste,Inundações,Hidrológico,1
RJ-F-3301207-12100-20160116,Carmo,RJ,2016-01-16,12100,3301207,Sudeste,Inundações,Hidrológico,1
RJ-P-3301702-12100-20091112,Duque de Caxias,RJ,2009-11-12,12100,3301702,Sudeste,Inundações,Hidrológico,1
RJ-A-3301702-12100-20091231,Duque de Caxias,RJ,2009-12-31,12100,3301702,Sudeste,Inundações,Hidrológico,1
RJ-P-3301702-12100-20100406,Duque de Caxias,RJ,2010-04-06,12100,3301702,Sudeste,Inundações,Hidrológico,1
RJ-F-3301702-12200-20130103,Duque de Caxias,RJ,2013-03-25,12200,3301702,Sudeste,Enxurradas,Hidrológico,1
RJ-F-3301702-12300-20130905,Duque de Caxias,RJ,2013-10-29,12300,3301702,Sudeste,Alagamentos,Hidrológico,1
RJ-F-3301702-12100-20131211,Duque de Caxias,RJ,2013-12-23,12100,3301702,Sudeste,Inundações,Hidrológico,1
RJ-F-3301702-12300-20150228,Duque de Caxias,RJ,2015-03-09,12300,3301702,Sudeste,Alagamentos,Hidrológico,1
RJ-F-3301702-12300-20220402,Duque de Caxias,RJ,2022-04-02,12300,3301702,Sudeste,Alagamentos,Hidrológico,1
RJ-C-3302403-12300-20080129,Macaé,RJ,2008-01-29,12300,3302403,Sudeste,Alagamentos,Hidrológico,1
RJ-C-3302403-12300-20080415,Macaé,RJ,2008-04-15,12300,3302403,Sudeste,Alagamentos,Hidrológico,1
RJ-C-3302403-12300-20090121,Macaé,RJ,2009-01-21,12300,3302403,Sudeste,Alagamentos,Hidrológico,1
